Rind,reaction,idx,code
MR_404637_2,[C:1](/[C:3]([C:2]([N:4]([H:7])[H:8])([N:5]([H:9])[H:10])[C:17]([N:16]([H:19])[H:20])([O:18][H:12])[H:21])=[N:6]\[H:11])([H:13])([H:14])[H:15]>>[C:1]([C:3](=[C:2]([N:4]([H:7])[H:8])[N:5]([H:9])[H:10])[N:6]([H:11])[H:12])([H:13])([H:14])[H:15].[N:16]([C:17](=[O:18])[H:21])([H:19])[H:20],5166,4742
MR_404678_1,[C:1]1([N:3]([H:10])[H:11])([N:4]([H:12])[H:13])[C:5]([H:14])=[C:2]([O:6][H:9])[N:8]=[N:7]1>>[C:1]([N:3]([H:10])[H:11])([N:4]([H:12])[H:13])=[C:5]([C:2]([O:6][H:9])=[N+:8]=[N-:7])[H:14],5167,4743
MR_404813_1,[C:1]1(=[C:6]([H:14])[H:15])[C-:3]([H:10])[C@:4]([N:2]([H:8])[H:9])([H:11])[N+:7]1=[C:5]([H:12])[H:13]>>[C:1](/[C:3](=[C:4](\[N:2]([H:8])[H:9])[H:11])[H:10])(=[C:6]([H:14])[H:15])[N:7]=[C:5]([H:12])[H:13],5168,4744
MR_618088_0,[C:1]1(=[C:6]([H:14])[H:15])[C-:3]([H:10])[C@:4]([N:2]([H:8])[H:9])([H:11])[N+:7]1=[C:5]([H:12])[H:13]>>[C:1](/[C:3](=[C:4](/[N:2]([H:8])[H:9])[H:11])[H:10])(=[C:6]([H:14])[H:15])[N:7]=[C:5]([H:12])[H:13],5169,4744
MR_404857_0,[C-:1](/[C:3]([N:4]([H:9])[H:10])=[C:6](/[N:5]([H:11])[H:12])[H:15])([O+:7]=[C:2]([H:13])[H:14])[H:8]>>[C:1]1(/[C:3]([N:4]([H:9])[H:10])=[C:6](/[N:5]([H:11])[H:12])[H:15])([H:8])[C:2]([H:13])([H:14])[O:7]1,5170,4745
MR_404892_2,[C:1]1([C:3]([H:11])([H:12])[H:13])([O:7][C:2]([C:4]([H:14])([H:15])[H:16])([H:9])[H:10])[N:5]([H:8])[O:6]1>>[C:1](\[C:3]([H:11])([H:12])[H:13])([N:5]([O-:6])[H:8])=[O+:7]/[C:2]([C:4]([H:14])([H:15])[H:16])([H:9])[H:10],5171,4746
MR_404972_2,[N:1]([C:2]([C:3]([N:4]([H:11])[H:12])=[C:5]([H:13])[H:14])=[O:8])([O:6][H:10])[O:7][H:9]>>[N:1]([C:2]([C:3]([N:4]([H:11])[H:12])=[C:5]([H:13])[H:14])=[O:8])=[O:7].[O:6]([H:9])[H:10],5172,4747
MR_404986_1,[C:1]([C:2]([C:4](=[C:5]([H:14])[H:15])[H:13])=[O:8])(/[C:3](=[N:6]/[H:10])[N+:9]#[C-:7])([H:11])[H:12]>>[C:1]([C:2]([C:4](=[C:5]([H:14])[H:15])[H:13])=[O:8])(/[C:3](=[N:6]/[H:10])[C:7]#[N:9])([H:11])[H:12],5173,4748
MR_405012_2,[C:1]1([O:8][H:9])([H:10])[C:3]([H:13])([H:14])[N:7]([C:5]([H:18])([H:19])[H:20])[C:2]([H:11])([H:12])[N:6]1[C:4]([H:15])([H:16])[H:17]>>[C:1]([C:3]([N:7]([C:2]([N:6]([C:4]([H:15])([H:16])[H:17])[H:9])([H:11])[H:12])[C:5]([H:18])([H:19])[H:20])([H:13])[H:14])(=[O:8])[H:10],5174,4749
MR_405066_1,[C:2]([C:5](=[C:3]=[C:6]([H:15])[H:16])[H:14])([O:7][H:10])=[O:8].[N:1]([N:4]([H:12])[H:13])([H:9])[H:11]>>[N:1]([C:3]([C:5](=[C:2]([O:7][H:10])[O:8][H:9])[H:14])=[C:6]([H:15])[H:16])([N:4]([H:12])[H:13])[H:11],5175,4750
MR_405077_0,[C:10]([C:11]([O:12][H:14])=[O:13])([H:15])([H:16])[H:17].[C:1]([N:2]([N:3]([H:5])[H:6])[H:4])([H:7])([H:8])[H:9]>>[C:1]([N:2]([N:3]([H:5])[H:6])[C:11]([C:10]([H:15])([H:16])[H:17])=[O:13])([H:7])([H:8])[H:9].[H:4][O:12][H:14],5176,4751
MR_405108_2,[C:1]([N:2]=[N+:6]=[N-:7])([H:10])([H:11])[H:12].[C:3](=[C:4]=[C:5]([H:13])[H:14])=[N:8][H:9]>>[C:1]([N:2]1/[C:3](=[N:8]\[H:9])[C:4](=[C:5]([H:13])[H:14])[N:7]=[N:6]1)([H:10])([H:11])[H:12],5177,4752
MR_405120_1,[C:1]([N:3]([C:2]([H:10])([H:11])[H:12])[N:4]([N:5]([H:6])[H:18])[C:15]([C:14](=[C:13]([H:17])[H:19])[H:16])([H:20])[H:21])([H:7])([H:8])[H:9]>>[C:13]([C:14](=[C:15]([H:20])[H:21])[H:16])([H:17])([H:18])[H:19].[C:1]([N:3]([C:2]([H:10])([H:11])[H:12])/[N:4]=[N:5]/[H:6])([H:7])([H:8])[H:9],5178,4753
MR_405300_1,[C:1](/[C:3](=[C:2](/[N:4]([H:10])[H:11])[O:6][N:8]=[C:5]([H:15])[H:16])[O:7][H:9])([H:12])([H:13])[H:14]>>[C:1](=[C:3]([C:2]([N:4]([H:10])[H:11])=[O:6])[O:7][H:9])([H:13])[H:14].[C:5](=[N:8][H:12])([H:15])[H:16],5179,4754
MR_405408_2,[C:1]([O:8][C:4]([C-:2]=[N+:5]([H:10])[H:11])([C:3]([N:6]([H:12])[H:13])=[O:9])[N:7]([H:14])[H:15])([H:16])([H:17])[H:18]>>[C:1]([O:8]/[C:4](=[C:2](/[C:3]([N:6]([H:12])[H:13])=[O:9])[N:5]([H:10])[H:11])[N:7]([H:14])[H:15])([H:16])([H:17])[H:18],5180,4755
MR_405451_1,[C:1]([N:5]([H:12])[H:13])([O:7][C:3]([C:4]([C:2]([H:14])([H:15])[H:16])=[O:9])=[C:6]([H:17])[H:18])([O:8][H:10])[H:11]>>[C:1]([O:7][C:3]([C:4]([C:2]([H:14])([H:15])[H:16])=[O:9])=[C:6]([H:17])[H:18])(=[O:8])[H:11].[N:5]([H:10])([H:12])[H:13],5181,4756
MR_405488_2,[C@@:1]1([N:7]([H:12])[H:13])([H:10])[C@@:2]([C:3]([H:15])([H:16])[H:17])([H:11])[C@:6]2([C:4]([H:18])([H:19])[H:20])[N@@+:5]1([H:9])[C-:8]2[H:14]>>[C:1]1([N:7]([H:12])[H:13])([H:10])[C:2]([C:3]([H:15])([H:16])[H:17])([H:11])[C:6]([C:4]([H:18])([H:19])[H:20])=[C:8]([H:14])[N:5]1[H:9],5182,4757
MR_405625_1,[C:1]([H:7])([H:8])([H:9])[N+:11](=[N-:10])[H:12].[N:2]([N:3]([H:5])[H:6])([H:4])[H:13]>>[C:1]([H:7])([H:8])([H:9])[N:11]([N:10]([H:5])[H:13])[H:12].[N:2](=[N:3]\[H:6])\[H:4],5183,4758
MR_40565_0,[C:1](/[C:3]([N:2]([N:4]([H:7])[H:8])[O-:5])=[O+:6]/[H:9])([H:10])([H:11])[H:12]>>[C:1]([C:3]([N:2]([N:4]([H:8])[H:9])[O:5][H:7])=[O:6])([H:10])([H:11])[H:12],5184,4759
MR_405693_2,[C:1]([C:3]([H:16])([H:17])[H:18])([N:4]([C:6]([N:5]([C:2]([H:13])([H:14])[H:15])[H:11])=[C:7]([H:19])[H:20])[H:10])([O:8][H:9])[H:12]>>[C:1]([C:3]([H:16])([H:17])[H:18])(=[O:8])[H:12].[C:2]([N:5](/[C:6](=[N:4]/[H:10])[C:7]([H:9])([H:19])[H:20])[H:11])([H:13])([H:14])[H:15],5185,4760
MR_405814_1,[C:1]([C:3]([N:2]([O:5][H:8])[O:6][H:7])=[C:4]([H:12])[H:13])([H:9])([H:10])[H:11]>>[C:1]([N:2]([C:3](=[C:4]([H:12])[H:13])[O:5][H:8])[O:6][H:7])([H:9])([H:10])[H:11],5186,4761
MR_405821_2,[C:12]([O:13][H:14])([H:15])([H:16])[H:17].[C:1]([N:2]([O:4][N:3]([H:7])[H:8])[O:5][H:6])([H:9])([H:10])[H:11]>>[C:12]([O:13][H:14])([H:15])([H:16])[H:17].[C:1](=[N:2][O:5][H:6])([H:9])[H:11].[N:3]([O:4][H:10])([H:7])[H:8],5187,4762
MR_405859_0,[C:1]1([H:7])([H:8])[C:2]([H:9])=[N+:4]([H:6])[O:5][N-:3]1>>[C:1](/[C:2](=[N:4]/[H:6])[H:9])([N:3]=[O:5])([H:7])[H:8],5188,4763
MR_405896_0,[C:1]1([O:6][C:3]([H:12])([H:13])[H:14])([H:8])[C:2]([N:5]([H:10])[H:11])([H:9])[N:4]1[H:7]>>[C:1](\[C:2]([N:5]([H:10])[H:11])([O:6][C:3]([H:12])([H:13])[H:14])[H:9])(=[N:4]\[H:7])[H:8],5189,4764
MR_405979_1,[C:1]([C:2]([H:11])([H:12])[H:13])(=[N+:7]=[C-:5][H:10])[H:9].[N:3](=[C:4]=[C:6]([H:14])[H:15])[H:8]>>[C:1]1([C:2]([H:11])([H:12])[H:13])([H:9])[N:3]([H:8])[C:4](=[C:6]([H:14])[H:15])[C:5]([H:10])=[N:7]1,5190,4765
MR_4060_0,[C:1]([N:3]([C:4]([C:2]([H:10])([H:11])[H:12])=[O:5])[H:6])([H:7])([H:8])[H:9]>>[C:1](/[N:3]=[C:4](\[C:2]([H:10])([H:11])[H:12])[O:5][H:6])([H:7])([H:8])[H:9],5191,4766
MR_406190_0,[C:1](=[N:3][H:4])([H:8])[H:9].[N:2]([H:6])([H:7])[C:11]([C:10]([H:17])([H:18])[H:19])(/[C:12](=[N:13]\[H:15])[H:16])[O:14][H:5]>>[C:10]([C:11](/[C:12](=[N:13]\[H:15])[H:16])=[O:14])([H:17])([H:18])[H:19].[C:1]([N:2]([H:6])[H:7])([N:3]([H:4])[H:5])([H:8])[H:9],5192,4767
MR_406283_0,[C:1](\[N:3]([H:8])[H:9])([C:6]([C-:2]=[N+:4]([H:10])[H:11])([N:5]([H:13])[H:14])[H:15])=[N:7]\[H:12]>>[C:1](/[C:2]([N:4]([H:10])[H:11])=[C:6](\[N:5]([H:13])[H:14])[H:15])([N:3]([H:8])[H:9])=[N:7]\[H:12],5193,4768
MR_406332_2,[C:1](=[C:3]=[C:4]([H:10])[H:11])([H:8])[H:9].[N:2](=[N+:5]=[N-:6])[H:7]>>[C:1]1([H:8])([H:9])[C:3](=[C:4]([H:10])[H:11])[N:2]([H:7])[N:5]=[N:6]1,5194,4769
MR_406599_1,[C:1]([C:2]([H:10])([H:11])[H:12])([O:3][H:8])([O:4][H:9])[N:5]=[C:6]=[O:7]>>[C:1](\[C:2]([H:10])([H:11])[H:12])([O:3][H:8])=[N:5]/[C:6]([O:4][H:9])=[O:7],5195,4770
MR_406600_0,[C:1]([C:2]([H:10])([H:11])[H:12])([O:3][H:8])([O:4][H:9])[N:5]=[C:6]=[O:7]>>[C:1](\[C:2]([H:10])([H:11])[H:12])([O:3][H:8])=[N:5]\[C:6]([O:4][H:9])=[O:7],5196,4770
MR_406600_1,[C:1]([C:2]([H:10])([H:11])[H:12])([O:3][H:8])([O:4][H:9])[N:5]=[C:6]=[O:7]>>[C:1](\[C:2]([H:10])([H:11])[H:12])([O:3][H:8])=[N:5]/[C:6]([O:4][H:9])=[O:7],5197,4770
MR_406716_1,[C:1]([C:3]([H:17])([H:18])[H:19])(=[C:4]=[N:8][H:12])[H:9].[C:2]([N:6]([H:13])[H:14])([O:7][N:5]([H:10])[H:11])([H:15])[H:16]>>[C:1]([C:3]([H:17])([H:18])[H:19])(/[C:4]([O:7][N:5]([H:10])[H:11])=[N:8]\[H:12])([H:9])[H:14].[C:2](=[N:6][H:13])([H:15])[H:16],5198,4771
MR_406742_0,[C:1]([C:4](=[C:2]([H:13])[H:15])[C:3]([N:5]([H:7])[H:8])([N:6]([H:9])[H:10])[C:18]([C:17]([H:21])([H:22])[H:23])([O:19][H:14])[H:20])([H:11])([H:12])[H:16]>>[C:17]([C:18](=[O:19])[H:20])([H:21])([H:22])[H:23].[C:1]([C:4]([C:2]([H:13])([H:14])[H:15])=[C:3]([N:5]([H:7])[H:8])[N:6]([H:9])[H:10])([H:11])([H:12])[H:16],5199,4772
MR_40679_0,[C-:1]([C:4]([H:16])([H:17])[H:18])(/[N+:6](=[C:2](\[C:5]([H:19])([H:20])[H:21])[H:12])[H:8])[H:10].[C:3]([N:7]([H:9])[H:11])([H:13])([H:14])[H:15]>>[C:1]([C:4]([H:16])([H:17])[H:18])([N:6]([C:2]([C:5]([H:19])([H:20])[H:21])([H:11])[H:12])[H:8])([N:7]([C:3]([H:13])([H:14])[H:15])[H:9])[H:10],5200,4773
MR_406902_0,[C:1]([C:2]([H:15])([H:16])[H:17])([C:3]([H:18])([H:19])[H:20])([C:5](=[C:4]=[O:8])[N:7]([H:13])[H:14])[H:10].[N:6]([H:9])([H:11])[H:12]>>[C:1]([C:2]([H:15])([H:16])[H:17])([C:3]([H:18])([H:19])[H:20])(/[C:5](=[C:4](/[N:6]([H:11])[H:12])[O:8][H:9])[N:7]([H:13])[H:14])[H:10],5201,4774
MR_406910_2,[C:1](/[N:3]=[C:4](/[C:2]([H:15])([H:16])[H:17])[N:7](/[C:5](=[N:8]/[H:10])[H:11])[O:6][H:9])([H:12])([H:13])[H:14]>>[C:1]([N:3](/[C:4]([C:2]([H:15])([H:16])[H:17])=[N:7]/[O:6][H:9])/[C:5](=[N:8]/[H:10])[H:11])([H:12])([H:13])[H:14],5202,4775
MR_406955_1,[C:1]([O:3][C:2](=[O:6])[H:8])([O:4][H:7])=[O:5]>>[C:1](=[O:3])=[O:5].[C:2]([O:4][H:7])(=[O:6])[H:8],5203,4776
MR_406997_1,[C:1]([N:3]([H:10])[H:11])([C:5]1([H:14])[C:2]2([C:4](=[O:9])[H:13])[C:6]1([H:15])[N:7]2[H:12])=[O:8]>>[C:1]([N:3]([H:10])[H:11])(/[C:5](=[C:6]([C:2](\[C:4](=[O:9])[H:13])=[N:7]\[H:12])/[H:15])[H:14])=[O:8],5204,4777
MR_407040_1,[C:1](=[C:3]([H:15])[H:17])([C:4]([H:18])([H:19])[H:20])[H:11].[C:2](=[C:5]([O:7][N:6]([H:9])[H:10])[N:8]([H:12])[H:16])([H:13])[H:14]>>[C:1]([C:2](/[C:5]([O:7][N:6]([H:9])[H:10])=[N:8]/[H:12])([H:13])[H:14])([C:3]([H:15])([H:16])[H:17])([C:4]([H:18])([H:19])[H:20])[H:11],5205,4778
MR_40706_1,[C:1](\[C:4]([N:3]([C:2]([H:12])([H:13])[H:14])[H:7])([O:6][H:8])[H:11])(=[N:5]/[H:9])[H:10]>>[C:1]([C:4]([N:3]([C:2]([H:12])([H:13])[H:14])[H:7])=[O:6])([N:5]([H:8])[H:9])([H:10])[H:11],5206,4779
MR_407117_0,[N:1]([C:2]([O:5][H:7])=[O:6])([N:3]([H:8])[H:9])[N:4]([H:10])[H:11]>>[C:2](=[O:5])=[O:6].[N:1]([N:3]([H:8])[H:9])([N:4]([H:10])[H:11])[H:7],5207,4780
MR_407117_2,[N:1]([C:2]([O:5][H:7])=[O:6])([N:3]([H:8])[H:9])[N:4]([H:10])[H:11]>>[C:2](=[O:5])=[O:6].[N:1]([N:3]([H:8])[H:9])([N:4]([H:10])[H:11])[H:7],5208,4780
MR_407172_1,[C:1]([C:2]([H:14])([H:15])[H:16])([C:3]([H:13])([H:17])[H:18])([C:4]12[O:7][N:8]1[C:5]([N:6]([H:11])[H:12])=[N:9]2)[H:10]>>[C:1]([C:2]([H:14])([H:15])[H:16])([C:3]([H:13])([H:17])[H:18])([c:4]1[o:7][n:8][c:5]([N:6]([H:11])[H:12])[n:9]1)[H:10],5209,4781
MR_407311_0,[C:1]([C:2]([O:7][H:12])([O:8][H:13])[O:9][H:14])([C:3]([C:4]([H:17])([H:18])[H:19])([H:15])[H:16])([O:5][H:10])[O:6][H:11]>>[C:1]([C:2]([O:8][H:13])=[O:9])([C:3]([C:4]([H:17])([H:18])[H:19])([H:15])[H:16])([O:5][H:10])[O:6][H:11].[O:7]([H:12])[H:14],5210,4782
MR_407311_2,[C:1]([C:2]([O:7][H:12])([O:8][H:13])[O:9][H:14])([C:3]([C:4]([H:17])([H:18])[H:19])([H:15])[H:16])([O:5][H:10])[O:6][H:11]>>[C:1]([C:2](=[O:8])[O:9][H:14])([C:3]([C:4]([H:17])([H:18])[H:19])([H:15])[H:16])([O:5][H:10])[O:6][H:11].[O:7]([H:12])[H:13],5211,4782
MR_407410_2,[C-:2](/[O+:7]=[N:5]\[C:3]([H:15])([H:16])[H:17])([H:13])[H:14].[C:1]([N:6]([C:4]([H:18])([H:19])[H:20])[H:10])([O:8][H:9])([H:11])[H:12]>>[C:1]([N:6]([C:4]([H:18])([H:19])[H:20])[H:10])([O:8][H:9])([H:11])[H:12].[C:2]1([H:13])([H:14])[N:5]([C:3]([H:15])([H:16])[H:17])[O:7]1,5212,4783
MR_407411_1,[C:1]([N+:4]([C:2]([N:5]([H:9])[H:10])([H:13])[H:14])([C:3]([H:15])([H:16])[H:17])[O-:6])([O:7][H:8])([H:11])[H:12]>>[C:1]([N:4]([C:3]([H:15])([H:16])[H:17])[O:6][C:2]([N:5]([H:9])[H:10])([H:13])[H:14])([O:7][H:8])([H:11])[H:12],5213,4784
MR_407424_0,[C:11]([O:12][H:13])([H:14])([H:15])[H:16].[C:1](=[N:3][H:8])([H:9])[H:10].[N:2]([O:4][H:7])([H:5])[H:6]>>[C:11]([O:12][H:13])([H:14])([H:15])[H:16].[C:1]([N:3]([H:7])[H:8])([O:4][N:2]([H:5])[H:6])([H:9])[H:10],5214,4785
MR_407438_0,[C:1]([O:3][O:2][O:4][H:6])(=[O:5])[H:7]>>[C:1](=[O:3])=[O:5].[O:2]([O:4][H:6])[H:7],5215,4786
MR_407459_2,[C:1]([C:2]#[C:3][H:7])([H:4])([H:5])[H:6].[N:8](/[N:9]=[N:11]/[H:13])=[N:10]/[H:12]>>[C:1]([C:2]#[C:3][H:7])([H:4])([H:5])[H:6].[N:8]#[N:10].[N:9](=[N:11]\[H:13])\[H:12],5216,4787
MR_407486_1,[C:1]([C:2]([H:16])([H:17])[H:18])([N:4]=[C:6]=[O:9])([N:7]([H:12])[H:13])[N:8]([H:14])[H:15].[C:3]([N:5]([H:10])[H:11])([H:19])([H:20])[H:21]>>[C:1]([C:2]([H:16])([H:17])[H:18])([N:4]([C:6]([N:5]([C:3]([H:19])([H:20])[H:21])[H:11])=[O:9])[H:10])([N:7]([H:12])[H:13])[N:8]([H:14])[H:15],5217,4788
MR_407486_2,[C:1]([C:2]([H:16])([H:17])[H:18])([N:4]=[C:6]=[O:9])([N:7]([H:12])[H:13])[N:8]([H:14])[H:15].[C:3]([N:5]([H:10])[H:11])([H:19])([H:20])[H:21]>>[C:1]([C:2]([H:16])([H:17])[H:18])([N:4]([C:6]([N:5]([C:3]([H:19])([H:20])[H:21])[H:11])=[O:9])[H:10])([N:7]([H:12])[H:13])[N:8]([H:14])[H:15],5218,4788
MR_407555_0,[C:1]([C:3]([H:13])([H:14])[H:15])(=[C:4]([H:16])[H:18])[H:9].[C:2](=[C:5]([N:6]([H:10])[H:17])[C:7]#[N:8])([H:11])[H:12]>>[C:1]([C:2](/[C:5](=[N:6]/[H:10])[C:7]#[N:8])([H:11])[H:12])([C:3]([H:13])([H:14])[H:15])([C:4]([H:16])([H:17])[H:18])[H:9],5219,4789
MR_407580_1,[C:1]([C:2]([H:14])([H:15])[H:16])([C:3]([H:17])([H:18])[H:19])([C:5]12[C:8]([H:13])([C:6]([C:4]([H:20])([H:21])[H:22])=[N:10]1)[O:9]2)[N:7]([H:11])[H:12]>>[C:1]([C:2]([H:14])([H:15])[H:16])([C:3]([H:17])([H:18])[H:19])([c:5]1[o:9][c:8]([H:13])[c:6]([C:4]([H:20])([H:21])[H:22])[n:10]1)[N:7]([H:11])[H:12],5220,4790
MR_407690_0,[C:1]([C:5]1([H:12])[C:2]([N:3]([H:9])[H:10])=[C:4]([H:11])[C:6]1([C:7]#[N:8])[H:13])([H:14])([H:15])[H:16]>>[C:1](/[C:5](=[C:2]([N:3]([H:9])[H:10])/[C:4](=[C:6](/[C:7]#[N:8])[H:13])[H:11])[H:12])([H:14])([H:15])[H:16],5221,4791
MR_407714_0,[C:1](=[N:3][H:5])([H:7])[H:8].[C:2]([O:4][C:14]([N:13]([C:12]([H:19])([H:20])[H:21])[H:18])([O:15][H:17])[O:16][H:6])([H:9])([H:10])[H:11]>>[C:12]([N:13]([C:14]([O:15][H:17])=[O:16])[H:18])([H:19])([H:20])[H:21].[C:1]([N:3]([H:5])[H:6])([O:4][C:2]([H:9])([H:10])[H:11])([H:7])[H:8],5222,4792
MR_407748_1,[C:1]([N:2]([H:7])[C:12]([N:11]([H:14])[H:15])([O:13][H:6])[H:16])([H:8])([H:9])[H:10].[C:3](=[O:4])=[O:5]>>[C:1]([N:2]([C:3]([O:4][H:6])=[O:5])[H:7])([H:8])([H:9])[H:10].[N:11]([C:12](=[O:13])[H:16])([H:14])[H:15],5223,4793
MR_407759_1,[C:1]([O:8][C:4]([C-:3]=[N+:6]([H:10])[H:11])(/[C:5]([C:2]([H:18])([H:19])[H:20])=[N:9]\[H:14])[N:7]([H:12])[H:13])([H:15])([H:16])[H:17]>>[C:1]([O:8]/[C:4](=[C:3]([C:5](/[C:2]([H:18])([H:19])[H:20])=[N:9]\[H:14])\[N:6]([H:10])[H:11])[N:7]([H:12])[H:13])([H:15])([H:16])[H:17],5224,4794
MR_407925_1,[C:1](/[N:5]=[N:3]/[C:2](/[N:4]=[N:6]/[H:8])=[N:7]\[H:9])([H:10])([H:11])[H:12]>>[C:1]([N:5]([N:3]=[C:2]=[N:7][H:9])/[N:4]=[N:6]/[H:8])([H:10])([H:11])[H:12],5225,4795
MR_407950_0,[C:1]([C:2]([H:15])([H:16])[H:17])([C:3]([H:18])([H:19])[H:20])([C:6]([C:4](=[O:8])[O:9][H:13])(/[C-:5]=[O+:10]\[H:12])[H:14])[O:7][H:11]>>[C:1]([C:2]([H:15])([H:16])[H:17])([C:3]([H:18])([H:19])[H:20])(/[C:5](=[C:6](/[C:4](=[O:8])[O:9][H:13])[H:14])[O:10][H:12])[O:7][H:11],5226,4796
MR_408026_1,[C-:1](/[O+:3]=[N:2]/[O:4][H:6])([H:8])[H:9].[O:5]([H:7])[H:10]>>[C:1]([O:3][N:2]([O:4][H:6])[O:5][H:7])([H:8])([H:9])[H:10],5227,4797
MR_40810_0,[C:1]([C:3]([H:14])([H:15])[H:16])([C:5]([C:2]([C:4]([H:13])([H:17])[H:18])([O:7][H:10])[H:12])=[O:8])([O:6][H:9])[H:11]>>[C:1]([C:3]([H:14])([H:15])[H:16])([C:5]([C:2]([C:4]([H:13])([H:17])[H:18])([O:7][H:10])[H:12])([O:8][H:9])[H:11])=[O:6],5228,4798
MR_408158_0,[C@@:1]12([C:2]([H:12])([H:13])[H:14])[N:5]([H:9])[C@@:7]([C:3]([H:15])([H:16])[H:18])([H:11])[C@:8]1([C:4]([H:17])([H:19])[H:20])[N:6]2[H:10]>>[C:1]1([C:2]([H:12])([H:13])[H:14])([H:11])[N:5]([H:9])[C:7]([C:3]([H:15])([H:16])[H:18])=[C:8]([C:4]([H:17])([H:19])[H:20])[N:6]1[H:10],5229,4799
MR_408215_0,[C:1](/[N:4]=[C:3](/[N:2]([H:5])[H:6])[H:7])([H:8])([H:9])[H:10].[N:11](/[N:14]=[C:13](/[N:12]([H:17])[H:18])[H:19])([H:15])[H:16]>>[C:1]([N:4](/[C:3](=[N:2]/[H:6])[H:7])[C:13]([N:12]([H:17])[H:18])([N:14]([H:5])[N:11]([H:15])[H:16])[H:19])([H:8])([H:9])[H:10],5230,4800
MR_408271_0,[C:1]([C:2]([C:3]([H:13])([H:14])[H:17])([C:4]([H:15])([H:16])[H:18])[H:12])([O:5][O:6][H:11])([O:7][H:9])[O:8][H:10]>>[C:1]([O:5][C:2]([C:3]([H:13])([H:14])[H:17])([C:4]([H:15])([H:16])[H:18])[H:12])(=[O:7])[O:8][H:10].[O:6]([H:9])[H:11],5231,4801
MR_408288_1,[C:1]1([C:2]([H:12])([H:13])[H:14])([C:3]([H:11])([H:15])[H:16])[C:5](=[O:8])[N:7]2[N:4]([H:9])[C:6]12[H:10]>>[C:1]1([C:2]([H:12])([H:13])[H:14])([C:3]([H:11])([H:15])[H:16])[C:5](=[O:8])[N:4]([H:9])[N:7]=[C:6]1[H:10],5232,4802
MR_408355_2,[C:1]1([C:4]([H:13])([H:14])[H:15])([O:8][H:10])[C:2]([C:5]([H:16])([H:17])[H:18])([C:6]([H:19])([H:20])[H:21])[C:3]1([C:7](=[O:9])[H:12])[H:11]>>[C:1]([C:3]1([H:11])[C:2]([C:5]([H:16])([H:17])[H:18])([C:6]([H:19])([H:20])[H:21])[C:7]1([O:9][H:10])[H:12])([C:4]([H:13])([H:14])[H:15])=[O:8],5233,4803
MR_408386_1,[C:1]([C:3]([H:15])([H:16])[H:17])([C:4]([H:14])([H:18])[H:19])=[N+:5]([C:2]([H:11])([H:12])[H:13])[N:7]([C:6](=[O:9])[H:10])[O-:8]>>[C:1]([C:3]([H:15])([H:16])[H:17])([C:4]([H:14])([H:18])[H:19])([N:5]([C:2]([H:11])([H:12])[H:13])[N:7]=[O:8])[C:6](=[O:9])[H:10],5234,4804
MR_408400_1,[C:1]1([H:11])([H:12])[N:5]([H:10])[C:6]1([C:3]([H:16])([H:17])[H:18])[O:8][N:4]([C:2]([H:13])([H:14])[H:15])[O:7][H:9]>>[C:1]1([H:11])([H:12])[N:5]([H:10])[C:6]1([C:3]([H:16])([H:17])[H:18])[O:8][H:13].[C:2](=[N:4][O:7][H:9])([H:14])[H:15],5235,4805
MR_408521_0,[C:12]([N:13]([N:14]([H:16])[H:17])[H:15])([H:18])([H:19])[H:20].[C:1]([N:3]([C:2]([H:9])([H:10])[H:11])[N:4]=[O:5])([H:6])([H:7])[H:8]>>[C:1]([N:3]([C:2]([H:9])([H:10])[H:11])[H:15])([H:6])([H:7])[H:8].[N:4]([O:5])[N:13]([C:12]([H:18])([H:19])[H:20])[N:14]([H:16])[H:17],5236,4806
MR_408559_0,[C:1]([N:2]([H:4])[H:6])([H:7])([H:8])[O:12][H:13].[O-:3][N+:11]([H:5])([C:9]([H:14])([H:15])[H:16])[C:10]([H:17])([H:18])[H:19]>>[C:1]([N:2]([H:5])[H:6])([H:7])([H:8])[O:12][H:13].[O:3]([H:4])[N:11]([C:9]([H:14])([H:15])[H:16])[C:10]([H:17])([H:18])[H:19],5237,4807
MR_408615_1,[C:10](/[C:13](=[C:11](/[N:12]([H:16])[H:17])[O:14][H:15])[H:18])([H:19])([H:20])[H:21].[C:1]([C:2]([N:3]([H:5])[H:6])=[O:4])([H:7])([H:8])[H:9]>>[C:1]([C:2]([N:3]([H:5])[H:6])([O:4][H:15])[C:13]([C:10]([H:19])([H:20])[H:21])([C:11]([N:12]([H:16])[H:17])=[O:14])[H:18])([H:7])([H:8])[H:9],5238,4808
MR_408625_0,[C:1]1([H:8])([H:9])[C:3]([N:6][H:7])=[C:5]([H:10])[C:4]1[C:2]([H:11])([H:12])[H:13]>>[C:1](/[C:4]([C:2]([H:11])([H:12])[H:13])=[C:5](\[C:3][N:6][H:7])[H:10])([H:8])[H:9],5239,4809
MR_408625_1,[C:1]1([H:8])([H:9])/[C:3](=[N:6]/[H:7])[C:5]([H:10])=[C:4]1[C:2]([H:11])([H:12])[H:13]>>[C:1](=[C:4]([C:2]([H:11])([H:12])[H:13])[C:5](=[C:3]=[N:6][H:7])[H:10])([H:8])[H:9],5240,4810
